               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.036226,            0.057982,           0.0088716,             0.29988,             0.30326,              0.1898,               0.134,            0.060494,              0.1651,            0.045996,            0.003565,            0.003565,            0.003565
                  67,            0.036639,            0.054486,            0.009419,             0.26714,             0.31198,              0.1918,             0.13443,            0.059621,             0.16577,            0.042961,            0.003466,            0.003466,            0.003466
                  68,            0.035622,            0.051123,           0.0088085,             0.33106,             0.26478,             0.19813,              0.1479,            0.059657,             0.16102,            0.044614,            0.003367,            0.003367,            0.003367
                  69,            0.035451,            0.053919,           0.0086401,             0.27397,             0.30766,             0.19788,             0.14158,            0.059737,             0.16811,            0.044724,            0.003268,            0.003268,            0.003268
                  70,            0.035432,            0.051164,           0.0088923,             0.28451,             0.32013,             0.19739,             0.13618,            0.059728,             0.15584,            0.045273,            0.003169,            0.003169,            0.003169
                  71,            0.035763,            0.052098,           0.0091439,             0.32512,             0.28944,             0.19699,             0.13801,            0.061893,             0.16502,            0.046701,             0.00307,             0.00307,             0.00307
                  72,            0.035512,            0.050278,           0.0087131,              0.2399,             0.32279,             0.17842,             0.12923,            0.059594,             0.16277,             0.04747,            0.002971,            0.002971,            0.002971
                  73,            0.034497,            0.049889,           0.0082308,             0.26261,             0.34472,             0.19505,              0.1361,            0.060257,             0.17279,            0.046822,            0.002872,            0.002872,            0.002872
                  74,             0.03434,            0.054384,           0.0081921,             0.31165,             0.30638,             0.19026,             0.13855,            0.061482,             0.16647,            0.045985,            0.002773,            0.002773,            0.002773
                  75,            0.034794,              0.0512,             0.00836,             0.31334,             0.29025,             0.18255,             0.12956,            0.060479,             0.17004,            0.046426,            0.002674,            0.002674,            0.002674
                  76,            0.033775,            0.048243,           0.0078881,             0.30934,              0.2939,             0.18779,             0.13653,            0.060228,              0.1631,            0.045179,            0.002575,            0.002575,            0.002575
                  77,            0.034511,            0.052208,           0.0084737,             0.31142,             0.28252,             0.19742,             0.14104,            0.059946,             0.16314,            0.044259,            0.002476,            0.002476,            0.002476
                  78,            0.034389,            0.051387,           0.0084281,             0.30784,             0.30966,             0.19745,             0.14126,            0.059444,             0.16559,            0.043172,            0.002377,            0.002377,            0.002377
                  79,            0.034975,            0.049419,           0.0081081,             0.27771,             0.32074,             0.18279,             0.13245,            0.059615,             0.17027,            0.045451,            0.002278,            0.002278,            0.002278
                  80,            0.033995,            0.051707,            0.007783,             0.28059,             0.31468,             0.19089,             0.13919,            0.059828,             0.17332,            0.047974,            0.002179,            0.002179,            0.002179
                  81,            0.034546,            0.052262,           0.0084578,             0.27627,             0.30941,             0.19245,             0.13612,            0.058987,             0.17117,            0.043911,             0.00208,             0.00208,             0.00208
                  82,            0.033225,            0.052156,           0.0078755,             0.28555,             0.30964,             0.19028,             0.13443,            0.059301,             0.17036,            0.044955,            0.001981,            0.001981,            0.001981
                  83,            0.033781,            0.051428,           0.0077639,             0.30131,             0.31686,             0.19201,             0.14111,             0.05997,             0.17629,            0.045209,            0.001882,            0.001882,            0.001882
                  84,            0.033366,            0.050784,           0.0076924,             0.29655,             0.30658,                 0.2,             0.14418,            0.059283,              0.1701,            0.046598,            0.001783,            0.001783,            0.001783
                  85,            0.033325,            0.050949,           0.0078981,              0.2822,             0.31864,             0.19662,             0.13975,            0.060182,             0.17005,            0.045852,            0.001684,            0.001684,            0.001684
                  86,            0.032891,            0.047647,            0.007463,             0.28556,             0.30631,             0.19879,             0.14138,              0.0599,             0.17416,            0.046591,            0.001585,            0.001585,            0.001585
                  87,            0.032954,            0.049408,           0.0080534,             0.28671,             0.31795,             0.19551,             0.14174,            0.059513,             0.17247,            0.045371,            0.001486,            0.001486,            0.001486
                  88,            0.033062,            0.054323,           0.0075798,             0.29808,             0.31203,             0.19943,             0.14504,            0.060019,             0.17098,            0.045092,            0.001387,            0.001387,            0.001387
